Key;Tracker;Status;Priority;Owner;Filepath;Subject;Category;Estimated time [min];Start date;End date;Time spent [min];Description;Caratteristica di riferimento;Commit hash
AYqiDz6c882CViJqbmUY;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-15;2023-10-15;7;"startLine: 95;startOffset: 22;endOffset: 38;endLine: 95";Maintenance (Code Smells);eb5f69f
AYqiDz6c882CViJqbmUc;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S2259:  ""A NullPointerException could be thrown; context is nullable here.""";MAJOR;10;2023-10-15;2023-10-15;3;"startLine: 128;startOffset: 17;endOffset: 33;endLine: 128";Reliability (Bugs);0336285
AYqiDz6c882CViJqbmUd;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S2259:  ""A NullPointerException could be thrown; context is nullable here.""";MAJOR;10;2023-10-15;2023-10-15;3;"startLine: 208;startOffset: 17;endOffset: 33;endLine: 208";Reliability (Bugs);5e0a326
AYqiDz6c882CViJqbmUe;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S1117:  ""Rename extensions which hides the field declared at line 61.""";MAJOR;5;2023-10-15;2023-10-15;3;"startLine: 293;startOffset: 28;endOffset: 38;endLine: 293";Maintenance (Code Smells);c69b2bd
AYqiDz6c882CViJqbmUf;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S1117:  ""Rename contexts which hides the field declared at line 60.""";MAJOR;5;2023-10-15;2023-10-15;3;"startLine: 294;startOffset: 44;endOffset: 52;endLine: 294";Maintenance (Code Smells);027b842
AYqiDz6c882CViJqbmUg;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S1155:  ""Use isEmpty() to check whether the collection is empty or not.""";MINOR;2;2023-10-15;2023-10-15;2;"startLine: 348;startOffset: 16;endOffset: 37;endLine: 348";Maintenance (Code Smells);1c10d47
AYqiDz6c882CViJqbmUh;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S125:  ""This block of commented-out lines of code should be removed.""";MAJOR;5;2023-10-15;2023-10-15;1;"startLine: 358;startOffset: 23;endOffset: 78;endLine: 358";Maintenance (Code Smells);324e89a
AYqiDz6c882CViJqbmUZ;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-15;2023-10-15;10;"startLine: 406;startOffset: 48;endOffset: 57;endLine: 406";Maintenance (Code Smells);8ab7ff5
AYqiDz6c882CViJqbmUa;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""";MAJOR;20;2023-10-15;2023-10-15;5;"startLine: 425;startOffset: 56;endOffset: 65;endLine: 425";Maintenance (Code Smells);00792ef
AYqiDz6c882CViJqbmUb;To-Do;New;Normal;Claudia Stefanizzi;CiEmmeModelli_CiEmme:core/impl-base/src/main/java/org/jboss/arquillian/core/impl/ManagerImpl.java;"java:S1066:  ""Merge this if statement with the enclosing one.""";MAJOR;5;2023-10-15;2023-10-15;3;"startLine: 463;startOffset: 20;endOffset: 22;endLine: 463";Maintenance (Code Smells);c9ed44a
